n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.12302136421203613,"[4, 3, 2, 1, 0]","          p                           instantiations
0  0.051322  3=False,0=True,2=False,4=True,1=True,  "
15,8,2,3,1,6,0.26631855964660645,"[4, 7, 6, 7, 8, 7, 6, 5, 5, 4, 4, 3, 2, 1, 0]","          p                                     instantiations
3  0.001835  12=True,13=False,5=True,10=True,3=True,4=True,..."
25,10,2,3,1,10,9.157313346862793,"[8, 13, 14, 17, 16, 16, 15, 14, 13, 13, 12, 1, 11, 10, 9, 8, 8, 7, 6, 5, 4, 3, 2, 1, 0]","           p                                     instantiations
86  0.000001  24=False,15=True,5=True,7=True,22=False,17=Fal..."
35,13,2,3,1,14,5.835991621017456,"[6, 1, 6, 2, 2, 6, 1, 1, 7, 1, 5, 9, 12, 13, 16, 1, 15, 14, 13, 13, 12, 11, 11, 10, 9, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","               p                                     instantiations
11  2.953529e-07  11=True,8=True,6=True,18=False,29=True,21=True..."
45,15,2,3,1,18,2.849034547805786,"[1, 4, 3, 8, 7, 3, 1, 3, 6, 7, 6, 3, 1, 4, 6, 10, 8, 3, 3, 9, 2, 7, 7, 12, 17, 16, 4, 15, 14, 13, 12, 11, 11, 10, 9, 8, 7, 6, 5, 5, 4, 3, 2, 1, 0]","               p                                     instantiations
33  2.519323e-12  15=False,21=False,41=True,26=False,18=False,9=..."
